device_mac, date, type, intensity, steps, heartrate
fc:5a:18:28:15:53, 2018-04-17 16:49, 80, 18, 0, 255
fc:5a:18:28:15:53, 2018-04-17 16:50, 80, 29, 0, 255
fc:5a:18:28:15:53, 2018-04-17 16:51, 80, 19, 0, 255
fc:5a:18:28:15:53, 2018-04-17 16:52, 80, 11, 0, 255
fc:5a:18:28:15:53, 2018-04-17 16:53, 80, 21, 0, 69
fc:5a:18:28:15:53, 2018-04-17 16:54, 80, 18, 0, 255
fc:5a:18:28:15:53, 2018-04-17 16:55, 80, 22, 0, 255
fc:5a:18:28:15:53, 2018-04-17 16:56, 80, 23, 0, 255
fc:5a:18:28:15:53, 2018-04-17 16:57, 80, 21, 0, 255
fc:5a:18:28:15:53, 2018-04-17 16:58, 80, 15, 0, 63
fc:5a:18:28:15:53, 2018-04-17 16:59, 80, 26, 0, 255
